,cat1,cat2,cat3,parent_id_name,theme_name,studio,brandname,year,set_num
0,main,cc,cc,Main_noparent,cc,notgiven,notgiven,2021,50
1,main,Znap,Znap,Main_noparent,Znap,notgiven,notgiven,1998,12
2,main,Znap,Znap,Main_noparent,Znap,notgiven,notgiven,1999,7
3,main,Xtra,Xtra,Main_noparent,Xtra,notgiven,notgiven,2018,8
4,main,Xtra,Xtra,Main_noparent,Xtra,notgiven,notgiven,2019,5
5,main,Xtra,Xtra,Main_noparent,Xtra,notgiven,notgiven,2020,4
6,main,Xtra,Xtra,Main_noparent,Xtra,notgiven,notgiven,2021,2
7,main,X-Pod,X-Pod,Main_noparent,X-Pod,notgiven,notgiven,2004,15
8,main,X-Pod,X-Pod,Main_noparent,X-Pod,notgiven,notgiven,2005,4
9,main,X-Pod,X-Pod,Main_noparent,X-Pod,notgiven,notgiven,2006,5
10,main,Western,Western,Main_noparent,Western,notgiven,notgiven,1996,7
11,main,Western,Western,Main_noparent,Western,notgiven,notgiven,1997,11
12,main,Western,Western,Main_noparent,Western,notgiven,notgiven,2002,4
13,main,Vikings,Vikings,Main_noparent,Vikings,notgiven,notgiven,2005,5
14,main,Vikings,Vikings,Main_noparent,Vikings,notgiven,notgiven,2006,3
15,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1988,1
16,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1989,1
17,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1990,1
18,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1991,1
19,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1992,1
20,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1993,1
21,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1994,2
22,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,1999,1
23,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,2000,1
24,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,2008,1
25,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,2019,5
26,main,Value Packs,Value Packs,Main_noparent,Value Packs,notgiven,notgiven,2023,3
27,main,Universe,Universe,Main_noparent,Universe,notgiven,notgiven,2010,2
28,main,Universal Building Set,Basic,Universal Building Set,Basic,notgiven,subset,1985,26
