set_num,name,year,theme_id,num_parts,id,has_parent_id,parent_id,parent_id_name,theme_name,count,cat1,cat2,cat3,brandname,studio,5year,decade,Cluster,scaled_num_parts
30542-1,Cute Pug,2018,672,68.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2015,2010,1,-1.1255798059986168
30571-1,Pelican,2019,672,62.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2015,2010,1,-1.161460452329869
30574-1,Cat,2020,672,55.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2020,2020,1,-1.2033212063829966
30578-1,German Shepherd,2021,672,76.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2020,2020,1,-1.0777389442236138
30581-1,Tropical Parrot,2022,672,66.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2020,2020,1,-1.1375400214423674
30641-1,Panda,2023,672,83.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2020,2020,1,-1.0358781901704863
31000-1,Mini Speeder,2013,672,65.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2010,2010,1,-1.143520129164243
31001-1,Mini Skyflyers,2013,672,62.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2010,2010,1,-1.161460452329869
31002-1,Super Racer,2013,672,121.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2010,2010,1,-0.8086340967392224
31003-1,Red Rotors,2013,672,145.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2010,2010,1,-0.6651115114142135
31004-1,Fierce Flyer,2013,672,166.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2010,2010,1,-0.5395292492548308
31005-1,Construction Hauler,2013,672,256.0,672,1,22,Creator,Creator 3-in-1,1,main,Creator,Creator 3-in-1,subset,notgiven,2010,2010,1,-0.0013195542860477375
