,Cluster,parent_id_name,year,count_sets,mean_num_parts,median,numsets
0,0,Main_noparent,2003,7,250.85714285714286,100.0,7
1,0,Main_noparent,2004,9,312.3333333333333,202.0,9
2,0,Main_noparent,2005,12,148.0,14.0,12
3,0,Main_noparent,2006,14,134.0,38.0,14
4,0,Main_noparent,2007,14,27.0,11.5,14
5,0,Main_noparent,2008,5,56.2,48.0,5
6,0,Main_noparent,2009,8,46.5,37.0,8
7,0,Main_noparent,2010,4,62.25,58.5,4
8,0,Main_noparent,2011,6,48.333333333333336,57.5,6
9,0,Main_noparent,2012,3,46.666666666666664,45.0,3
10,0,Main_noparent,2013,6,56.5,53.0,6
11,0,Main_noparent,2014,5,56.8,56.0,5
12,0,Main_noparent,2015,4,60.5,62.0,4
13,0,Main_noparent,2016,4,78.25,76.0,4
14,0,Main_noparent,2017,4,65.0,43.0,4
15,0,Main_noparent,2018,1,43.0,43.0,1
16,0,Main_noparent,2019,1,68.0,68.0,1
17,0,Main_noparent,2020,7,49.285714285714285,52.0,7
18,0,Main_noparent,2021,17,61.588235294117645,44.0,17
19,0,Main_noparent,2022,16,115.3125,52.5,16
20,0,Main_noparent,2023,11,86.81818181818181,58.0,11
21,1,Creator,1999,1,77.0,77.0,1
22,1,Creator,2001,21,210.0952380952381,211.0,21
23,1,Creator,2002,11,338.54545454545456,200.0,11
24,1,Creator,2004,1,9.0,9.0,1
25,1,Creator,2006,2,321.0,321.0,2
26,1,Creator,2007,7,194.14285714285714,77.0,7
27,1,Creator,2008,6,297.8333333333333,232.5,6
28,1,Creator,2009,6,214.0,206.0,6
29,1,Creator,2010,7,290.42857142857144,278.0,7
30,1,Creator,2011,8,270.875,213.0,8
31,1,Creator,2012,9,205.55555555555554,191.0,9
32,1,Creator,2013,12,233.83333333333334,229.0,12
33,1,Creator,2014,12,220.41666666666666,201.0,12
34,1,Creator,2015,13,267.15384615384613,237.0,13
35,1,Creator,2016,15,249.2,222.0,15
36,1,Creator,2017,13,247.76923076923077,248.0,13
37,1,Creator,2018,14,298.85714285714283,250.5,14
38,1,Creator,2019,14,267.7142857142857,225.5,14
39,1,Creator,2020,9,275.0,198.0,9
40,1,Creator,2021,13,300.38461538461536,327.0,13
41,1,Creator,2022,10,251.8,195.0,10
42,1,Creator,2023,9,279.77777777777777,253.0,9
43,2,Creator,2007,1,3428.0,3428.0,1
44,2,Creator,2008,1,5922.0,5922.0,1
45,2,Creator,2009,1,3261.0,3261.0,1
46,2,Creator,2010,1,4295.0,4295.0,1
47,2,Creator,2013,1,2989.0,2989.0,1
48,2,Creator,2016,1,4167.0,4167.0,1
49,2,Creator,2017,2,4296.5,4296.5,2
50,2,Creator,2018,1,4080.0,4080.0,1
51,2,Creator,2020,1,3898.0,3898.0,1
52,3,Creator,2000,1,857.0,857.0,1
53,3,Creator,2002,2,835.0,835.0,2
54,3,Creator,2003,1,663.0,663.0,1
55,3,Creator,2004,1,988.0,988.0,1
56,3,Creator,2005,1,988.0,988.0,1
57,3,Creator,2006,4,1021.25,978.5,4
58,3,Creator,2007,4,940.5,928.5,4
59,3,Creator,2008,4,1114.5,1050.5,4
60,3,Creator,2009,4,1033.0,1033.5,4
61,3,Creator,2010,3,1085.0,1061.0,3
62,3,Creator,2011,4,1127.25,1231.5,4
63,3,Creator,2012,2,842.0,842.0,2
64,3,Creator,2013,2,1053.5,1053.5,2
65,3,Creator,2014,4,1340.75,1297.5,4
66,3,Creator,2015,3,1566.3333333333333,1158.0,3
67,3,Creator,2016,2,979.5,979.5,2
68,3,Creator,2017,3,1028.0,728.0,3
69,3,Creator,2018,3,1018.0,923.0,3
70,3,Creator,2019,4,1137.5,1055.0,4
71,3,Creator,2020,3,996.0,960.0,3
72,3,Creator,2021,3,1129.3333333333333,1002.0,3
73,3,Creator,2022,2,973.5,973.5,2
74,3,Creator,2023,1,809.0,809.0,1
75,4,Main_noparent,2003,4,1003.0,1001.0,4
76,4,Main_noparent,2004,4,1251.5,1100.5,4
77,4,Main_noparent,2005,6,1166.6666666666667,1000.0,6
78,4,Main_noparent,2006,1,806.0,806.0,1
79,4,Main_noparent,2008,1,701.0,701.0,1
