,set_num,name,year,theme_id,num_parts,img_url,id,has_parent_id,parent_id,parent_id_name,theme_name,count,cat1,cat2,cat3,brandname,studio,5year,decade
0,1076-1,Advent Calendar 1999,1999,207,229.0,https://cdn.rebrickable.com/media/sets/1076-1.jpg,207,1,0,Seasonal,Advent,1,main,Seasonal,Advent,subset,notgiven,1995,1990
1,2250-1,Advent Calendar 2000,2000,207,241.0,https://cdn.rebrickable.com/media/sets/2250-1.jpg,207,1,0,Seasonal,Advent,1,main,Seasonal,Advent,subset,notgiven,2000,2000
2,40222-1,24-in-1 Holiday Countdown,2016,207,250.0,https://cdn.rebrickable.com/media/sets/40222-1.jpg,207,1,0,Seasonal,Advent,1,main,Seasonal,Advent,subset,notgiven,2015,2010
3,40253-1,Christmas Build-Up,2017,207,254.0,https://cdn.rebrickable.com/media/sets/40253-1.jpg,207,1,0,Seasonal,Advent,1,main,Seasonal,Advent,subset,notgiven,2015,2010
4,76196-1,Marvel The Avengers Advent Calendar 2021,2021,207,325.0,https://cdn.rebrickable.com/media/sets/76196-1.jpg,207,1,0,Seasonal,Advent,1,main,Seasonal,Advent,subset,notgiven,2020,2020
5,76231-1,Guardians of the Galaxy Advent Calendar 2022,2022,207,271.0,https://cdn.rebrickable.com/media/sets/76231-1.jpg,207,1,0,Seasonal,Advent,1,main,Seasonal,Advent,subset,notgiven,2020,2020
6,10068-1,Santa Claus,2002,227,39.0,https://cdn.rebrickable.com/media/sets/10068-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
7,10069-1,Christmas Tree,2002,227,33.0,https://cdn.rebrickable.com/media/sets/10069-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
8,10070-1,Reindeer,2002,227,26.0,https://cdn.rebrickable.com/media/sets/10070-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
9,10079-1,Snowman,2003,227,42.0,https://cdn.rebrickable.com/media/sets/10079-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
10,10080-1,Angel,2003,227,33.0,https://cdn.rebrickable.com/media/sets/10080-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
11,10106-1,Snowflake,2006,227,107.0,https://cdn.rebrickable.com/media/sets/10106-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2005,2000
12,10165-1,Elf Boy,2004,227,27.0,https://cdn.rebrickable.com/media/sets/10165-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
13,10166-1,Elf Girl,2004,227,31.0,https://cdn.rebrickable.com/media/sets/10166-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
14,10199-1,Winter Toy Shop,2009,227,815.0,https://cdn.rebrickable.com/media/sets/10199-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2005,2000
15,10216-1,Winter Village Bakery,2010,227,687.0,https://cdn.rebrickable.com/media/sets/10216-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2010,2010
16,10222-1,Winter Village Post Office,2011,227,822.0,https://cdn.rebrickable.com/media/sets/10222-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2010,2010
17,10229-1,Winter Village Cottage,2012,227,1492.0,https://cdn.rebrickable.com/media/sets/10229-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2010,2010
18,10275-1,Elf Club House,2020,227,1197.0,https://cdn.rebrickable.com/media/sets/10275-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2020,2020
19,10293-1,Santa's Visit,2021,227,1445.0,https://cdn.rebrickable.com/media/sets/10293-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2020,2020
20,10308-1,Holiday Main Street,2022,227,1516.0,https://cdn.rebrickable.com/media/sets/10308-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2020,2020
21,1127-1,Santa,1999,227,39.0,https://cdn.rebrickable.com/media/sets/1127-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
22,1128-1,Santa on Skis,1999,227,21.0,https://cdn.rebrickable.com/media/sets/1128-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
23,1129-2,Santa on Reindeer,1999,227,34.0,https://cdn.rebrickable.com/media/sets/1129-2.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
24,1177-1,Santa In Truck with Polar Bear,2000,227,27.0,https://cdn.rebrickable.com/media/sets/1177-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
25,1549-1,Santa and Chimney,1992,227,62.0,https://cdn.rebrickable.com/media/sets/1549-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1990,1990
26,1555-1,Santa Claus,1986,227,19.0,https://cdn.rebrickable.com/media/sets/1555-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1985,1980
27,1556-1,Christmas Hearts,1986,227,10.0,https://cdn.rebrickable.com/media/sets/1556-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1985,1980
28,1625-1,Snowman,1989,227,40.0,https://cdn.rebrickable.com/media/sets/1625-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1985,1980
29,1626-1,Angel,1989,227,33.0,https://cdn.rebrickable.com/media/sets/1626-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1985,1980
30,1627-1,Santa,1989,227,36.0,https://cdn.rebrickable.com/media/sets/1627-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1985,1980
31,1628-1,Santa on Sleigh with Reindeer,1989,227,63.0,https://cdn.rebrickable.com/media/sets/1628-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1985,1980
32,1807-1,Santa Claus and Sleigh,1995,227,17.0,https://cdn.rebrickable.com/media/sets/1807-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
33,1978-1,Build-A-Santa,1991,227,39.0,https://cdn.rebrickable.com/media/sets/1978-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1990,1990
34,1979-1,Snowman,1991,227,42.0,https://cdn.rebrickable.com/media/sets/1979-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1990,1990
35,1980-1,Santa's Elves,1991,227,30.0,https://cdn.rebrickable.com/media/sets/1980-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1990,1990
36,245-2,Two Santas and Tree,1978,227,39.0,https://cdn.rebrickable.com/media/sets/245-2.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1975,1970
37,246-2,Santa with Sleigh and Reindeer,1977,227,68.0,https://cdn.rebrickable.com/media/sets/246-2.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1975,1970
38,2873-1,Small Santa Claus,1997,227,9.0,https://cdn.rebrickable.com/media/sets/2873-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
39,2874-1,Christmas Set,1997,227,10.0,https://cdn.rebrickable.com/media/sets/2874-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
40,2876-1,Christmas Set,1997,227,9.0,https://cdn.rebrickable.com/media/sets/2876-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
41,2878-1,Santa Claus,1997,227,16.0,https://cdn.rebrickable.com/media/sets/2878-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,1995,1990
42,2878-2,Santa Claus Mos Burger Gift Box 1- Hawaiian Shirt Santa,2001,227,1.0,https://cdn.rebrickable.com/media/sets/2878-2.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
43,2878-3,Santa Claus Mos Burger Gift Box 2 - Tuxedo Santa,2001,227,1.0,https://cdn.rebrickable.com/media/sets/2878-3.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
44,2878-4,Santa Claus Mos Burger Gift Box 3 - Soccer Santa,2001,227,1.0,https://cdn.rebrickable.com/media/sets/2878-4.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
45,2878-5,Santa Claus Mos Burger Gift Box 2 - King and Queen Santa,2001,227,1.0,https://cdn.rebrickable.com/media/sets/2878-5.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2000,2000
46,30008-1,Snowman,2009,227,44.0,https://cdn.rebrickable.com/media/sets/30008-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2005,2000
47,30009-1,Christmas Tree,2009,227,47.0,https://cdn.rebrickable.com/media/sets/30009-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2005,2000
48,30028-1,Wreath,2011,227,50.0,https://cdn.rebrickable.com/media/sets/30028-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2010,2010
49,30286-1,Christmas Tree,2015,227,65.0,https://cdn.rebrickable.com/media/sets/30286-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2015,2010
50,30474-1,Reindeer,2016,227,77.0,https://cdn.rebrickable.com/media/sets/30474-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2015,2010
51,3300002-1,Holiday Set 2 of 2,2011,227,117.0,https://cdn.rebrickable.com/media/sets/3300002-1.jpg,227,1,0,Seasonal,Christmas,1,main,Seasonal,Christmas,subset,notgiven,2010,2010
