,name,yearmin,part_num,decade,5year
0,"Bars, Ladders and Fences",1967,3,1960,1965
1,"Bars, Ladders and Fences",1968,4,1960,1965
2,"Bars, Ladders and Fences",1969,3,1960,1965
3,"Bars, Ladders and Fences",1971,2,1970,1970
4,"Bars, Ladders and Fences",1972,1,1970,1970
5,"Bars, Ladders and Fences",1976,1,1970,1975
6,"Bars, Ladders and Fences",1979,4,1970,1975
7,"Bars, Ladders and Fences",1980,3,1980,1980
8,"Bars, Ladders and Fences",1981,1,1980,1980
9,"Bars, Ladders and Fences",1983,1,1980,1980
10,"Bars, Ladders and Fences",1985,7,1980,1985
11,"Bars, Ladders and Fences",1986,3,1980,1985
12,"Bars, Ladders and Fences",1987,3,1980,1985
13,"Bars, Ladders and Fences",1988,1,1980,1985
14,"Bars, Ladders and Fences",1989,1,1980,1985
15,"Bars, Ladders and Fences",1990,2,1990,1990
16,"Bars, Ladders and Fences",1992,4,1990,1990
17,"Bars, Ladders and Fences",1994,4,1990,1990
18,"Bars, Ladders and Fences",1995,1,1990,1995
19,"Bars, Ladders and Fences",1996,5,1990,1995
20,"Bars, Ladders and Fences",1997,3,1990,1995
21,"Bars, Ladders and Fences",1999,3,1990,1995
22,"Bars, Ladders and Fences",2000,1,2000,2000
23,"Bars, Ladders and Fences",2001,4,2000,2000
24,"Bars, Ladders and Fences",2002,3,2000,2000
25,"Bars, Ladders and Fences",2004,4,2000,2000
26,"Bars, Ladders and Fences",2007,3,2000,2005
27,"Bars, Ladders and Fences",2008,5,2000,2005
28,"Bars, Ladders and Fences",2009,1,2000,2005
29,"Bars, Ladders and Fences",2010,4,2010,2010
30,"Bars, Ladders and Fences",2011,4,2010,2010
31,"Bars, Ladders and Fences",2012,4,2010,2010
32,"Bars, Ladders and Fences",2013,3,2010,2010
33,"Bars, Ladders and Fences",2014,1,2010,2010
34,"Bars, Ladders and Fences",2015,2,2010,2015
35,"Bars, Ladders and Fences",2016,5,2010,2015
36,"Bars, Ladders and Fences",2017,3,2010,2015
37,"Bars, Ladders and Fences",2018,2,2010,2015
38,"Bars, Ladders and Fences",2019,1,2010,2015
39,"Bars, Ladders and Fences",2020,3,2020,2020
40,"Bars, Ladders and Fences",2021,3,2020,2020
41,"Bars, Ladders and Fences",2022,1,2020,2020
42,"Bars, Ladders and Fences",2023,5,2020,2020
43,Baseplates,1955,1,1950,1955
44,Baseplates,1963,1,1960,1960
45,Baseplates,1964,1,1960,1960
46,Baseplates,1967,5,1960,1965
47,Baseplates,1968,3,1960,1965
48,Baseplates,1969,4,1960,1965
49,Baseplates,1970,1,1970,1970
50,Baseplates,1971,9,1970,1970
51,Baseplates,1972,6,1970,1970
52,Baseplates,1973,3,1970,1970
53,Baseplates,1974,5,1970,1970
54,Baseplates,1975,3,1970,1975
55,Baseplates,1976,4,1970,1975
56,Baseplates,1977,3,1970,1975
57,Baseplates,1978,10,1970,1975
58,Baseplates,1979,4,1970,1975
59,Baseplates,1980,3,1980,1980
60,Baseplates,1981,5,1980,1980
61,Baseplates,1982,1,1980,1980
62,Baseplates,1983,5,1980,1980
63,Baseplates,1984,1,1980,1980
64,Baseplates,1985,4,1980,1985
65,Baseplates,1986,6,1980,1985
66,Baseplates,1987,4,1980,1985
67,Baseplates,1989,3,1980,1985
68,Baseplates,1990,10,1990,1990
69,Baseplates,1991,7,1990,1990
70,Baseplates,1992,4,1990,1990
71,Baseplates,1993,3,1990,1990
72,Baseplates,1994,5,1990,1990
73,Baseplates,1995,4,1990,1995
74,Baseplates,1996,5,1990,1995
75,Baseplates,1997,6,1990,1995
