,index,year,Gear,Lego_movie_brand,Licensed,Licensed_Game,main
0,0,1949,,,,,5.0
1,1,1950,,,,,6.0
2,2,1953,,,,,4.0
3,3,1954,,,,,14.0
4,4,1955,,,,,39.0
5,5,1956,,,,,18.0
6,6,1957,,,,,23.0
7,7,1958,,,,,65.0
8,8,1959,,,,,4.0
9,9,1960,,,,,3.0
10,10,1961,,,,,26.0
11,11,1962,,,,,14.0
12,12,1963,,,,,56.0
13,13,1964,,,,,38.0
14,14,1965,,,,,20.0
15,15,1966,1.0,,,,119.0
16,16,1967,1.0,,,,27.0
17,17,1968,,,,,39.0
18,18,1969,,,,,70.0
19,19,1970,,,,,38.0
20,20,1971,,,,,54.0
21,21,1972,,,,,39.0
22,22,1973,,,,,68.0
23,23,1974,1.0,,,,38.0
24,24,1975,,,,,33.0
25,25,1976,,,,,70.0
26,26,1977,,,,,105.0
27,27,1978,1.0,,,,71.0
28,28,1979,,,,,88.0
29,29,1980,,,,,100.0
30,30,1981,,,,,78.0
31,31,1982,,,,,82.0
32,32,1983,,,4.0,,54.0
33,33,1984,1.0,,,,77.0
34,34,1985,,,2.0,,159.0
35,35,1986,1.0,,,,147.0
36,36,1987,,,,,214.0
37,37,1988,,,,,73.0
38,38,1989,,,8.0,,110.0
39,39,1990,,,,,94.0
40,40,1991,,,,,114.0
41,41,1992,,,,,126.0
42,42,1993,,,,,114.0
43,43,1994,3.0,,4.0,,132.0
44,44,1995,1.0,,,,164.0
45,45,1996,3.0,,,,162.0
46,46,1997,8.0,,,,243.0
47,47,1998,7.0,,,,365.0
48,48,1999,7.0,,15.0,,314.0
49,49,2000,34.0,,32.0,,294.0
50,50,2001,38.0,,27.0,,334.0
51,51,2002,55.0,21.0,54.0,,404.0
52,52,2003,65.0,,35.0,,396.0
53,53,2004,37.0,,47.0,,327.0
54,54,2005,37.0,,34.0,,276.0
55,55,2006,91.0,,26.0,,262.0
56,56,2007,145.0,,22.0,,265.0
57,57,2008,116.0,,45.0,,270.0
58,58,2009,114.0,,46.0,,340.0
59,59,2010,102.0,19.0,63.0,,262.0
60,60,2011,133.0,48.0,83.0,,253.0
61,61,2012,144.0,47.0,114.0,,304.0
62,62,2013,139.0,35.0,105.0,3.0,353.0
63,63,2014,155.0,82.0,104.0,8.0,482.0
64,64,2015,141.0,81.0,125.0,5.0,442.0
65,65,2016,143.0,40.0,130.0,8.0,473.0
66,66,2017,227.0,25.0,155.0,9.0,414.0
67,67,2018,184.0,48.0,193.0,13.0,396.0
68,68,2019,271.0,91.0,144.0,19.0,395.0
69,69,2020,243.0,47.0,155.0,46.0,434.0
70,70,2021,271.0,45.0,173.0,57.0,528.0
71,71,2022,204.0,45.0,158.0,63.0,450.0
72,72,2023,74.0,36.0,138.0,40.0,313.0
