year,Lego_movie_brand,Licensed,Licensed_Game,main
1990,,,,94.0
1991,,,,208.0
1992,,,,334.0
1993,,,,448.0
1994,,4.0,,580.0
1995,,,,744.0
1996,,,,906.0
1997,,,,1149.0
1998,,,,1514.0
1999,,19.0,,1828.0
2000,,51.0,,2122.0
2001,,78.0,,2456.0
2002,21.0,132.0,,2860.0
2003,,167.0,,3256.0
2004,,214.0,,3583.0
2005,,248.0,,3859.0
2006,,274.0,,4121.0
2007,,296.0,,4386.0
2008,,341.0,,4656.0
2009,,387.0,,4996.0
2010,40.0,450.0,,5258.0
2011,88.0,533.0,,5511.0
2012,135.0,647.0,,5815.0
2013,170.0,752.0,3.0,6168.0
2014,252.0,856.0,11.0,6650.0
2015,333.0,981.0,16.0,7092.0
2016,373.0,1111.0,24.0,7565.0
2017,398.0,1266.0,33.0,7979.0
2018,446.0,1459.0,46.0,8375.0
2019,537.0,1603.0,65.0,8770.0
2020,584.0,1758.0,111.0,9204.0
2021,629.0,1931.0,168.0,9732.0
2022,674.0,2089.0,231.0,10182.0
2023,710.0,2227.0,271.0,10495.0
